"Name","Position","Team","Bye Week","Rank","Andy","Jason","Mike","Markers"
"Houston Texans","D","HOU","8","1","1","2","2","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Los Angeles Rams","D","LAR","11","2","2","3","1","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Denver Broncos","D","DEN","10","3","3","1","3","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Seattle Seahawks","D","SEA","11","4","4","5","4","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Philadelphia Eagles","D","PHI","10","5","5","4","5","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"New England Patriots","D","NE","11","6","7","6","6","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Minnesota Vikings","D","MIN","6","7","6","7","7","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jacksonville Jaguars","D","JAX","7","8","8","10","8","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Pittsburgh Steelers","D","PIT","9","9","9","9","9","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Los Angeles Chargers","D","LAC","7","10","10","11","11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cleveland Browns","D","CLE","11","11","11","8","15","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kansas City Chiefs","D","KC","5","12","12","14","10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Baltimore Ravens","D","BAL","13","13","13","13","12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Green Bay Packers","D","GB","11","14","14","12","13","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Detroit Lions","D","DET","6","15","16","16","14","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Buffalo Bills","D","BUF","7","16","15","15","16","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Atlanta Falcons","D","ATL","11","17","17","18","17","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"San Francisco 49ers","D","SF","8","18","18","21","18","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"New York Giants","D","NYG","8","19","21","17","22","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Indianapolis Colts","D","IND","13","20","22","19","19","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chicago Bears","D","CHI","10","21","20","20","21","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"New Orleans Saints","D","NO","8","22","19","26","20","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Carolina Panthers","D","CAR","5","23","25","22","23","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dallas Cowboys","D","DAL","14","24","24","23","24","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tampa Bay Buccaneers","D","TB","10","25","23","25","25","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Washington Commanders","D","WAS","7","26","26","27","28","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Miami Dolphins","D","MIA","6","27","27","24","31","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cincinnati Bengals","D","CIN","6","28","30","28","26","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tennessee Titans","D","TEN","9","29","28","29","27","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Las Vegas Raiders","D","LV","13","30","29","30","30","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"New York Jets","D","NYJ","13","31","31","31","29","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Arizona Cardinals","D","ARI","14","32","32","32","32","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
