"Name","Team","Bye Week","Rank","PPG","YDS","TDS","YDS","TDS","INT","FUM"
"Joe Burrow","CIN","6","1","23.6","4200","39","146","2","11","3"
"Josh Allen","BUF","7","2","23.3","3800","28","568","9","11","7"
"Lamar Jackson","BAL","13","3","23.0","3648","29","614","6","8","7"
"Jayden Daniels","WAS","7","4","22.6","3594","27","670","7","10","4"
"Dak Prescott","DAL","14","5","22.2","4350","34","186","3","13","5"
"Drake Maye","NE","11","6","22.1","3831","30","508","5","10","8"
"Brock Purdy","SF","8","7","22.1","4152","34","258","4","17","4"
"Jalen Hurts","PHI","10","8","22.0","3380","27","474","11","9","8"
"Trevor Lawrence","JAX","7","9","21.8","3876","29","365","7","13","5"
"Matthew Stafford","LAR","11","10","21.8","4300","37","26","0","10","4"
"Jared Goff","DET","6","11","21.5","4312","36","47","1","10","6"
"Justin Herbert","LAC","7","12","21.4","4146","28","383","4","10","6"
"Caleb Williams","CHI","10","13","21.4","3856","28","445","5","7","8"
"Tyler Shough","NO","8","14","21.4","4161","29","288","3","10","3"
"Baker Mayfield","TB","10","15","20.9","3938","32","325","3","13","9"
"Bo Nix","DEN","10","16","20.6","3700","29","375","4","12","4"
"Jaxson Dart","NYG","8","17","20.6","3193","23","603","8","7","5"
"Kyler Murray","MIN","6","18","20.1","3400","24","574","6","10","5"
"Sam Darnold","SEA","11","19","20.0","4052","34","129","2","15","8"
"Patrick Mahomes","KC","5","20","19.9","4050","29","227","2","13","3"
"Jordan Love","GB","11","21","19.4","3800","29","210","2","10","5"
"Malik Willis","MIA","6","22","18.4","3350","23","416","4","12","0"
"C.J. Stroud","HOU","8","23","18.4","3700","25","241","3","11","2"
"Daniel Jones","IND","13","24","18.2","3900","27","147","2","11","6"
"Cam Ward","TEN","9","25","18.2","3675","27","195","2","5","10"
"Jacoby Brissett","ARI","14","26","17.7","3600","24","203","3","8","4"
"Tua Tagovailoa","ATL","11","27","16.7","3764","27","68","1","18","2"
"Aaron Rodgers","PIT","9","28","16.4","3400","26","82","1","9","4"
"Shedeur Sanders","CLE","11","29","16.0","3496","21","388","4","25","2"
"Bryce Young","CAR","5","30","16.0","3150","25","217","2","11","7"
"Geno Smith","NYJ","13","31","15.6","3360","25","191","1","16","6"
"Michael Penix Jr.","ATL","11","32","9.9","2300","13","73","1","5","2"
"Fernando Mendoza","LV","13","33","7.9","1900","10","87","1","8","1"
"Kirk Cousins","LV","13","34","6.9","1750","12","11","0","6","6"
"Deshaun Watson","CLE","11","35","0.0","0","0","0","0","0","0"
