"Name","Team","Bye Week","Rank","PPG","YDS","TDS","YDS","TDS","INT","FUM"
"Josh Allen","BUF","7","1","25.8","3850","30","600","12","10","4"
"Drake Maye","NE","11","2","23.1","4507","31","349","3","9","4"
"Lamar Jackson","BAL","13","3","22.8","3600","27","780","5","9","4"
"Joe Burrow","CIN","6","4","22.6","4350","36","75","1","10","0"
"Jared Goff","DET","6","5","22.4","4550","36","40","0","9","2"
"Matthew Stafford","LAR","11","6","21.9","4300","37","10","0","9","2"
"Bo Nix","DEN","10","7","21.9","4200","28","360","5","11","4"
"Jalen Hurts","PHI","10","8","21.9","3399","27","446","9","6","3"
"Jayden Daniels","WAS","7","9","21.8","4050","26","520","5","11","4"
"Trevor Lawrence","JAX","7","10","21.6","3895","29","323","7","11","4"
"Jaxson Dart","NYG","8","11","21.3","4131","25","451","5","11","3"
"Caleb Williams","CHI","10","12","21.3","3950","28","395","3","8","3"
"Dak Prescott","DAL","14","13","21.2","4450","30","160","2","10","3"
"Brock Purdy","SF","8","14","21.2","4333","30","215","3","13","3"
"Patrick Mahomes","KC","5","15","20.7","3950","28","290","4","11","3"
"Malik Willis","MIA","6","16","20.5","3753","21","705","5","11","5"
"Justin Herbert","LAC","7","17","20.4","3950","27","440","2","12","3"
"Baker Mayfield","TB","10","18","20.2","4233","28","320","1","12","4"
"Tyler Shough","NO","8","19","20.1","4245","24","342","3","10","3"
"Kyler Murray","MIN","6","20","18.8","3400","25","330","5","11","4"
"Cam Ward","TEN","9","21","18.5","4003","24","180","3","8","4"
"Jordan Love","GB","11","22","18.0","3750","25","205","1","8","3"
"C.J. Stroud","HOU","8","23","17.9","3750","24","240","2","10","3"
"Jacoby Brissett","ARI","14","24","17.8","3750","26","185","1","10","4"
"Bryce Young","CAR","5","25","17.4","3450","26","250","2","13","5"
"Sam Darnold","SEA","11","26","17.1","4095","26","92","0","15","4"
"Geno Smith","NYJ","13","27","16.0","3951","23","123","0","14","4"
"Aaron Rodgers","PIT","9","28","16.0","3521","24","58","1","9","3"
"Daniel Jones","IND","13","29","15.4","3100","20","195","4","9","4"
"Shedeur Sanders","CLE","11","30","9.6","2200","12","190","2","11","1"
"Kirk Cousins","LV","13","31","8.6","2050","13","45","1","9","3"
"Fernando Mendoza","LV","13","32","8.5","1700","11","150","2","8","0"
"Michael Penix Jr.","ATL","11","33","8.3","1927","10","66","1","3","2"
"Tua Tagovailoa","ATL","11","34","6.6","1424","11","24","0","7","1"
"Deshaun Watson","CLE","11","35","2.8","775","5","8","0","5","1"
